ID Number,Name,League,Team,Season,Birth Year,Position,Draft Year,Draft Position,NHL Team,Games Played,Goals,Assists,Points,PIMs,Points per Game,PIMS per Game,Shooting Percentage
024-08,Alexander Nikishin,KHL,SKA Saint Petersburg,2022-23,2001,LHD,2020,69,CAR,65,11,44,55,50,0.8461538462,0.7692307692,9
025-00,Maxim Groshev,MHL,Reaktor Nizhnekamsk,2018-19,2001,RW,2020,85,TBL,47,7,13,20,18,0.4255319149,0.3829787234,7.1
025-01,Maxim Groshev,MHL,Reaktor Nizhnekamsk,2019-20,2001,RW,2020,85,TBL,8,3,2,5,0,0.625,0,10.7
025-02,Maxim Groshev,KHL,Neftekhimik Nizhnekamsk,2019-20,2001,RW,2020,85,TBL,36,1,6,7,4,0.1944444444,0.1111111111,4.2
025-03,Maxim Groshev,MHL,Reaktor Nizhnekamsk,2020-21,2001,RW,2020,85,TBL,1,0,0,0,2,0,2,0
025-04,Maxim Groshev,VHL,SKA Neva Saint Petersburg,2020-21,2001,RW,2020,85,TBL,1,0,0,0,0,0,0,0
025-05,Maxim Groshev,KHL,Neftekhimik Nizhnekamsk,2020-21,2001,RW,2020,85,TBL,17,0,2,2,2,0.1176470588,0.1176470588,0
025-06,Maxim Groshev,KHL,SKA Saint Petersburg,2020-21,2001,RW,2020,85,TBL,18,1,0,1,8,0.05555555556,0.4444444444,7.7
025-07,Maxim Groshev,VHL,SKA Neva Saint Petersburg,2021-22,2001,RW,2020,85,TBL,16,1,11,12,4,0.75,0.25,3.6
025-08,Maxim Groshev,KHL,SKA Saint Petersburg,2021-22,2001,RW,2020,85,TBL,3,0,1,1,0,0.3333333333,0,0
025-09,Maxim Groshev,KHL,SKA Saint Petersburg,2022-23,2001,RW,2020,85,TBL,34,4,2,6,4,0.1764705882,0.1176470588,8
025-10,Maxim Groshev,VHL,SKA Neva Saint Petersburg,2022-23,2001,RW,2020,85,TBL,22,9,9,18,10,0.8181818182,0.4545454545,9.7
026-00,Kirill Kirsanov,MHL,SKA 1946 Saint Petersburg,2019-20,2002,LHD,2021,84,LAK,40,4,9,13,12,0.325,0.3,11.4
026-01,Kirill Kirsanov,VHL,SKA Neva Saint Petersburg,2020-21,2002,LHD,2021,84,LAK,4,1,1,2,2,0.5,0.5,33.3
026-02,Kirill Kirsanov,MHL,SKA 1946 Saint Petersburg,2020-21,2002,LHD,2021,84,LAK,8,0,4,4,4,0.5,0.5,0
026-03,Kirill Kirsanov,KHL,SKA Saint Petersburg,2020-21,2002,LHD,2021,84,LAK,29,0,3,3,0,0.1034482759,0,0
026-04,Kirill Kirsanov,KHL,SKA Saint Petersburg,2021-22,2002,LHD,2021,84,LAK,24,0,4,4,4,0.1666666667,0.1666666667,0
026-05,Kirill Kirsanov,MHL,SKA 1946 Saint Petersburg,2021-22,2002,LHD,2021,84,LAK,3,1,2,3,2,1,0.6666666667,25
026-06,Kirill Kirsanov,VHL,SKA Neva Saint Petersburg,2021-22,2002,LHD,2021,84,LAK,3,1,1,2,0,0.6666666667,0,33.3
026-07,Kirill Kirsanov,KHL,SKA Saint Petersburg,2022-23,2002,LHD,2021,84,LAK,9,0,1,1,2,0.1111111111,0.2222222222,0
026-08,Kirill Kirsanov,MHL,SKA 1946 Saint Petersburg,2022-23,2002,LHD,2021,84,LAK,5,2,3,5,0,1,0,20
026-09,Kirill Kirsanov,VHL,SKA Neva Saint Petersburg,2022-23,2002,LHD,2021,84,LAK,31,4,10,14,14,0.4516129032,0.4516129032,6.7
027-00,Dmitri Kostenko,MHL,Lada Togliatti,2018-19,2002,RHD,2021,87,MTL,41,4,9,13,20,0.3170731707,0.487804878,7.3
027-01,Dmitri Kostenko,VHL,Lada Togliatti,2019-20,2002,RHD,2021,87,MTL,8,0,0,0,0,0,0,0
027-02,Dmitri Kostenko,MHL,Lada Togliatti,2019-20,2002,RHD,2021,87,MTL,27,7,13,20,57,0.7407407407,2.111111111,10.1
027-03,Dmitri Kostenko,VHL,Lada Togliatti,2020-21,2002,RHD,2021,87,MTL,40,1,9,10,14,0.25,0.35,2.9
027-04,Dmitri Kostenko,MHL,Lada Togliatti,2020-21,2002,RHD,2021,87,MTL,10,1,8,9,10,0.9,1,4.3
027-05,Dmitri Kostenko,MHL,MHK Spartak Moscow,2021-22,2002,RHD,2021,87,MTL,7,0,9,9,36,1.285714286,5.142857143,0
027-06,Dmitri Kostenko,VHL,Khimik Voskresensk,2021-22,2002,RHD,2021,87,MTL,40,4,10,14,40,0.35,1,7.4
027-07,Dmitri Kostenko,KHL,Kunlun Red Star,2022-23,2002,RHD,2021,87,MTL,52,2,2,4,20,0.07692307692,0.3846153846,9.1
028-00,Stiven Sardaryan,MHL,Krasnaya Armiya Moscow,2020-21,2003,C,2021,88,BUF,50,9,21,30,2,0.6,0.04,17
028-01,Stiven Sardaryan,USHL,Youngstown Phantoms,2021-22,2003,C,2021,88,BUF,46,8,17,25,24,0.5434782609,0.5217391304,16.3
028-02,Stiven Sardaryan,NCAA,University of New Hampshire,2022-23,2003,C,2021,88,BUF,29,2,5,7,8,0.2413793103,0.275862069,16.7
029-00,Alexander Perevalov,MHL,Loko Yaroslavl,2020-21,2004,LW,2022,71,CAR,17,4,2,6,4,0.3529411765,0.2352941176,11.8
029-01,Alexander Perevalov,MHL,Loko-76 Yaroslavl,2021-22,2004,LW,2022,71,CAR,2,0,1,1,0,0.5,0,0
029-02,Alexander Perevalov,KHL,Lokomotiv Yaroslavl,2021-22,2004,LW,2022,71,CAR,5,0,0,0,0,0,0,0
029-03,Alexander Perevalov,MHL,Loko Yaroslavl,2021-22,2004,LW,2022,71,CAR,42,25,25,50,32,1.19047619,0.7619047619,15.5
029-04,Alexander Perevalov,KHL,Kunlun Red Star,2022-23,2004,LW,2022,71,CAR,27,2,1,3,4,0.1111111111,0.1481481481,6.1
029-05,Alexander Perevalov,MHL,Loko-76 Yaroslavl,2022-23,2004,LW,2022,71,CAR,7,4,1,5,7,0.7142857143,1,17.4
029-06,Alexander Perevalov,MHL,Loko Yaroslavl,2022-23,2004,LW,2022,71,CAR,4,2,1,3,4,0.75,1,10.5
030-00,Viktor Neuchev,MHL,Avto Yekaterinburg,2020-21,2003,LW,2022,74,BUF,43,14,15,29,10,0.6744186047,0.2325581395,9.9
030-01,Viktor Neuchev,VHL,Gornyak Uchaly,2021-22,2003,LW,2022,74,BUF,5,0,0,0,0,0,0,0
030-02,Viktor Neuchev,MHL,Avto Yekaterinburg,2021-22,2003,LW,2022,74,BUF,61,40,27,67,14,1.098360656,0.2295081967,11
030-03,Viktor Neuchev,KHL,Avtomobilist Yekaterinburg,2021-22,2003,LW,2022,74,BUF,1,0,0,0,0,0,0,0
030-04,Viktor Neuchev,VHL,Gornyak Uchaly,2022-23,2003,LW,2022,74,BUF,7,1,0,1,2,0.1428571429,0.2857142857,5.3
030-05,Viktor Neuchev,KHL,Avtomobilist Yekaterinburg,2022-23,2003,LW,2022,74,BUF,57,4,8,12,2,0.2105263158,0.0350877193,5.5
031-00,Aydar Suniev,BCHL,Penticton Vees,2021-22,2004,LW,2023,80,CLG,17,9,11,20,2,1.176470588,0.1176470588,
031-01,Aydar Suniev,BCHL,Penticton Vees,2022-23,2004,LW,2023,80,CLG,50,45,45,90,44,1.8,0.88,
